ID;title;url;author;institutionName;institutionUrl;helix;role;expertise;description;appendixUrl
339;Seeking to join a consortium for the call Epidemics-EICPrize-2020;https://crowdhelix.com/opportunities/seeking-to-join-a-consortium-for-the-call-epidemics-eicprize-2020-886;Didem Turkoz;EPIKHAS - KHAS Epidemiology and Public Health Research Group, Kadir Has University;"https://crowdhelix.com/group/epikhas-khas-epidemiology-and-public-health-research-group-106; https://crowdhelix.com/organisation/kadir-has-university-8584";Health;;Mathematical modelling, Big data analytics, Epidemiological studies, Epidemiology, Vaccine effectiveness, Epidemics, Mathematical epidemiology;"EPIKHAS, Epidemiology and Public Health Research Group of Kadir Has University, aims to develop mathematical models and simulations for the spread of epidemics, early detection of epidemics and vaccination strategies. Our research group in Kadir Has University in Istanbul, Turkey is led by 3 experts: 1 Professor and 2 Associate Professors in Mathematics, Epidemiology and Data Science. We are also cooperating with 3 researchers from Istanbul Technical University. We are aiming to be a regional center for mathematical epidemiology and support graduate students interested in studying and pursuing careers in this area. We have published articles on the time evolution of seasonal epidemics and vaccination strategies, organized a workshop to gather researchers in this area and conducted a research project on the determination of efficient vaccination strategies. Our current research is directed towards early detection of seasonal epidemics and on the evaluation of interventions inhomogeneous and age-structured soceties, with numerical methods.Fields of Interest :We focus on theoretical foundations of the epidemic models, their validation using large volume and variety of data and the determination of optimal vaccination strategies.Our Experience :Our research areas on epidemics consists of the following:• Determination of the epidemic parameters on incomplete data; robustness and sensitivity of the estimation,• The efficiency of health care measures and vaccinations strategies,• Early detection of epidemics based on aggregate data,• Flooding, partial flooding methods in networks.Our research group consists of successful academicians published in respected journals in the areas of epidemiology, multi-criteria decision making, heuristics, data mining, and data fusion. Previously, two of our team members completed a research project about the determination of efficient vaccination strategies for influenza type epidemics using genetic algorithms. A team member recently received a significant research grant from the National Research Funding Institution of Turkey (TUBITAK) with a project on finite metric spaces and their graph representations. Another team member was a researcher in “EPP2006: NOAA Interdisciplinary Scientific Environmental Technology (ISET) Cooperative Education and Research Center” project in the USA, conducting information technology research on data fusion and mining for climate sudies.Our role as a partner :We are interested in taking an active role and collaborate in design, development and implementation phases of potential research projects in these directions. Our expertise is in the area of mathematical characterization and exact and numerical solutions of the differential equation characterizing the spread of epidemics; we are currently incorporating data analysis to mathematical models in the research project “Decision support systems for the prevention of seasonal epidemics” by combining hospital and school data to develop an early warning system for epidemics. We are particularly interested in finding partners in the H2020 call: H2020-Epidemics-EICPrize-2020, EIC Horizon Prize for 'Early Warning for Epidemics'.";https://crowdhelix.com/uploads/post_attachments/5e206faa13ed2_EPIKHAS_Jan2020.pdf
340;Seeking European collaborators for COST Action on climate-health adaptation;https://crowdhelix.com/opportunities/seeking-european-collaborators-for-cost-action-on-climate-health-adaptation-887;Christie Godsmark;University College Cork;https://crowdhelix.com/organisation/university-college-cork-13;Health, Mission Climate;Individual Expert;Climate adaptation, Climate change and health, Cost action;Looking to submit for a COST Action on the next round due 29 April. This will be related to climate change and health adaptation in Europe. Please get in touch with me for more details.;
341;Seeking collaborators to target H2020-NMBP-21-2020 call: Custom-made biological scaffolds for specific tissue regeneration and repair;https://crowdhelix.com/opportunities/seeking-collaborators-to-target-h2020-nmbp-21-2020-call-custom-made-biological-scaffolds-for-specific-tissue-regeneration-and-repair-801;Projektna Pisarna;National Institute of Chemistry;https://crowdhelix.com/organisation/national-institute-of-chemistry-307;Health, Materials;Work Package Leader, Consortium Partner;Medical technologies, Regenerative medicine, Tissue regeneration, Vascularization, Biological scaffolds, Tissue repair, Novel biomaterials;The National Institute of Chemistry is a scientifically excellent, established and breakthrough research institution based in Europe. We have experience in leading and participating in large scale collaborative projects in the EU.We are looking for opportunities to contribute to shape a consortium and a proposal in the area of the development of novel synthetic polypeptide-based porous scaffolds, which present a new generation of biocompatible, biodegradable macroporous scaffolds that have desired surface functionality providing cell adhesive properties, with 3D-interconnected porous morphology, providing pathways for migration and proliferation of cells as well as vascularization.References:1.) D. Pahovnik, J. Majer, E. Žagar, S. Kovačič. Synthesis of hydrogel polyHIPEs from functionalized glycidyl methacrylate. Polymer Chemistry 2016, 7, 5132.2.) Š. Gradišar, E. Žagar, D. Pahovnik. Ring-opening polymerization of N-carboxyanhydrides initiated by a hydroxyl group. ACS Macro Letters 2017, 6, 637.;
342;Offering expertise for plant pathogens at the molecular level;https://crowdhelix.com/opportunities/offering-expertise-for-plant-pathogens-at-the-molecular-level-556;Projektna Pisarna;National Institute of Chemistry;https://crowdhelix.com/organisation/national-institute-of-chemistry-307;Health, Mission Climate, Food;Individual Expert;Cell biology, Plant pathogens, Molecular interactions, Pathogenesis;Call SFS-04-2019-2020: Integrated health approaches and alternatives to pesticide use (RIA), National Institute of Chemistry has expertise for studying plant pathogens at the molecular level. This includes plant cell membrane damaging toxins as well as Potato Virus Y.We use methods of molecular biology, protein and lipid biochemistry, biophysics, bioinformatics, cell biology and structural biology.We are interested in details of molecular interactions to understand the pathogen-host interplay and thus the mechanism of pathogenesis. This is important basis for development of tools for plant protection.;https://ec.europa.eu/info/research-and-innovation_en
343;Graduate students and post-doc fellows in Cancer Metabolism and Systems Biology;https://crowdhelix.com/opportunities/graduate-students-and-post-doc-fellows-in-cancer-metabolism-and-systems-biology-641;Tomer Shlomi;Shlomi Lab, Technion – Israel Institute of Technology;;Health, Talent;Individual Expert;Metabolomics, Cancer research, Systems biology, Grad students, Post docs, Cancer metabolism;"Shlomi Lab is looking for excellent and enthusiastic graduate students (M.Sc and Ph.D) as well as post-doctoral fellows interested in cancer metabolism and systems biology. Candidates should have background in Biology and/or quantitative background in Computer Science, Math, or Engineering.The lab studies how cellular metabolism is rewired in cancer cells and how this can be exploited for cancer diagnosis and treatment. Towards this end, we combine quantitative experimental approaches with computational modelling. We expertise in mass-spectrometry based metabolomics, isotope tracing techniques, metabolic network modelling, and ‘omics’ data analysis.Research projects involve:• Develop approaches to observe cellular metabolism at a single cell level, a subcellular compartment level, and throughout the cell cycle;• Reveal metabolic rewiring due to genomic mutations in cancer;• Cancer immunometabolism;• High-throughput analytical metabolomics screening approaches;• Cancer diagnostic methods via metabolomics and machine learning;• Study cancer metabolic rewiring via ‘Omics’ data analysis;For inquiries please contact Prof. Tomer Shlomi: tomersh@cs.technion.ac.il";
344;Seeking collaborators for Horizon 2020 call 'Biological scaffolds for tissue regeneration and repair';https://crowdhelix.com/opportunities/seeking-collaborators-for-horizon-2020-call-biological-scaffolds-for-tissue-regeneration-and-repair-822;Natalia Grzomba;Community & Project Management Team, Crowdhelix;"https://crowdhelix.com/group/community-project-management-team-1; https://crowdhelix.com/organisation/crowdhelix-134";Health, Materials;Coordinator;Stem cells, Crispr, Tissue regeneration, Biological scaffolds, Novel biomaterials, Human tissue, Cas9;"The One of Crowdhelix members is assembling a consortium for NMBP-21-2020 together with Polbionica, a spin off from the Foundation of Research and Science Development in Poland.Polbionica is developing the first bionic pancreas suitable for transplantation, based on bioprinted 3D scaffolds, functional vessels and pancreatic cells. In the first step, the pancreatic cells come from islets harvested from donors. In this project, they will replace the pancreatic islets by stem cells transformed into alpha and beta cells. With this approach, the patient does not have to wait for donor cells as it uses pluripotent stem cells from patients’ own tissues (which do not require an intervention on the patient’s pancreas and can be harvested from blood and fat tissue spaces with minimally invasive procedures). Therefore, they aim to modify human stem cells with commercially available lentiviral-based CRISPR/Cas tools to inhibit expression of relevant genes (B2M and CIITA) which will lead to disruption of the antigen system of the potential patient (HLAs). As a result, we should obtain a recombined stable human stem cell line suitable for directed differentiation into α and β cells and further bo-printing and transplantation.Specifically, the consortium is looking for partners who:(1) have expertise in stem cell isolation from human tissues and propagation;(2) work on CRISPR/CAS9 genetic changes in stem cells;(3)have ability of transformation of stem cells into insulin and glucagon producing cells.";
345;"Seeking coordinator for ""Next generation organ-on-chip""";https://crowdhelix.com/opportunities/seeking-coordinator-for-next-generation-organ-on-chip-819;Hadar Ben-Yoav;Ben-Gurion University of the Negev;https://crowdhelix.com/organisation/ben-gurion-university-of-the-negev-460;Health, Materials, Manufacturing;Work Package Leader, Consortium Partner;Coordinator;A consortium is looking for a coordinator with prior experience in coordinating European projects.;
346;Looking for partners for AI in Genomics and Personalised Medicine;https://crowdhelix.com/opportunities/looking-for-partners-for-ai-in-genomics-and-personalised-medicine-815;Gabriele Picarella;Centre for Genomic Regulation;https://crowdhelix.com/organisation/centre-for-genomic-regulation-370;Health;Consortium Partner;Personalised medicine, Ethics, Genomics, Ai, Omics, Health outcomes, Data regulation, Genomics data;"The Centre for Genomic Regulation (CRG) is a leading centre in genome sequence analysis and is involved in international genome sequencing and analysis projects in areas as cancer genetics, rare disorders, host-pathogen interactions, the preservation of endangered species, evolutionary studies and improvement of species of agricultural interest, in collaboration with universities, hospitals, research centres and companies in the sector of biotechnology and pharma.The resources, expertise and research facilities at our institute provide an excellent environment to apply and test AI methods to capture dependencies in research data and advancing personalized medicine for:• Genomics data pre-processing and data cleaning;• Extraction of novel features from genomics input data;• Large scale reconstruction of multiple sequence alignments;• Multi-omics data integration;• Modelling the Genotype to Phenotype Relationship and developing deep-learning methodologies.We are also interested in partnering for the following topics:SC1-BHC-06-2020: Digital diagnostics – developing tools for supporting clinical decisions by integrating various diagnostic data;SC1-DTH-02-2020: Personalised early risk prediction, prevention and intervention based on Artificial Intelligence and Big Data technologies;SC1-DTH-06-2020: Accelerating the uptake of computer simulations for testing medicines and medical devices;If this is of interest to any coordinating institution, please do not hesitate to contact us for further information.";https://crowdhelix.com/uploads/post_attachments/5db1e79789a2b_CRG%20-%20AI%20in%20Genomics%20and%20Personalised%20Medicine.docx
347;"Seeking to join a consortium for SC1-BHC-09-2018 ""Innovation platforms for advanced therapies of the future""";https://crowdhelix.com/opportunities/seeking-to-join-a-consortium-for-sc1-bhc-09-2018-innovation-platforms-for-advanced-therapies-of-the-future-407;Petra de Graaf;University Medical Centre Utrecht;https://crowdhelix.com/organisation/university-medical-centre-utrecht-375;Health, Society, Materials;Individual Expert;Tissue engineering, Regenerative medicine, Vascularization, Urology;Lower urinary tract symptoms (LUTS) affect millions of men and women worldwide: 15-40% of the adult population in developed countries experience bother by LUTS including significant storage and voiding problems. Alteration of tissues of the urogenital tract due to aging or trauma, affects quality of life in many patients. Even though these disorders are not directly life threatening, they have a detrimental influence on life, especially considering the lack of effective treatment methods. This emphasizes the need for more effective treatment methods, also due to the high burden on current healthcare costs.We seek a consortium to join to tackle these major health problems in the population, both in males and females. As our institute is currently coordinating a MSCA-ITN application on this topic, we already have contact with multiple partners, both academic and non-academic.;https://ec.europa.eu/info/research-and-innovation_en
348;"Looking for partners for a project on ""AI for Health Imaging""";https://crowdhelix.com/opportunities/looking-for-partners-for-a-project-on-ai-for-health-imaging-1-812;Roberto Martinez;Universidad Politecnica de Madrid;https://crowdhelix.com/organisation/universidad-politecnica-de-madrid-6;Health, Digital;Consortium Partner;Big data, Cancer, Ai, Digitalization of health;For the Call about “AI for Health Imaging”, we are currently gathering a strong consortium, including universities, industry, hospitals and research institutions. This initiative has been launched by the Universidad Politecnica de Madrid (Department of Artificial Intelligence) and The Galizian Network for Colorrectal Cancer, which gathers the main oncological units and hospitals from Galizia, Spain. Victor Maojo, MD, PhD, Professor and coordinator of the Artificial Intelligence doctorate program at the UPM and a Fellow of the American College of Medical Informatics, is coordinating the effort. He has coordinated previous EC consortia.As objectives, following the Call, we plan to:1. Create a comprehensive repository of medical images of cancer, following the latest trends and technologies.2. Develop/integrate a large set of AI tools for searching, accessing, collecting, organizing and retrieving medical images for topics such as diagnosis, treatment and prognosis. These tools will manage information from medical images and other information sources (EHRs, reports, etc).3. Test and validate the proposed infrastructure and its contents in actual clinical settings, showing issues such as impact on decision making, security, reliability, usability or reproducibility.4. Analyse and propose legal and ethical procedures for the Project.5. Connect this project with former and current European initiatives in the area.We are looking for a strong company which may participate in the development of the image repository for the project and its active performance and maintenance, as well as some hospitals with strong experience in digital radiology for cancer.Contact: Prof. Victor Maojo (vmaojo@gmail.com);
349;"Seeking collaborators for ""Next generation organ-on-chip"" (Research & Innovation action Lump Sum)";https://crowdhelix.com/opportunities/seeking-collaborators-for-next-generation-organ-on-chip-research-innovation-action-lump-sum-1-820;Flavio Rizzolio;Ca' Foscari University of Venice;https://crowdhelix.com/organisation/ca-foscari-university-of-venice-5257;Health, Materials;Work Package Leader;Cancer centers, Microfluidic experts, Preclinical animal models, Chip technology, Imaging technology, Microsensors;"The research team “Applications of Bio and Nanomaterials for human health” at Ca’ Foscari University of Venice is looking for a consortium in H2020 topic “DT-NMBP-23-2020 Next generation organ-on-chip (RIA-LS)”.The laboratory is focused on:• In collaboration with the National Cancer Center of Aviano new biomolecular and cellular approaches are being developed for the creation of biobanks derived from healthy tissues and tumors from cancer patients• In collaboration with the National Cancer Center of Aviano and the University of Pisa, the research group is developing new nano-pharmaceutical products based on biocompatible materials (e.g. liposomes) for cancer therapy; Interests:• To model cancer pathology and understand the mechanism of initiation, progression and metastasis;• To develop new therapeutic opportunities based on molecular pathway profiling;• To improve current combination therapies;• To develop animal testing alternatives;Competences:• Tissue biobanking;• 2D, 3D cultures and organoid technology;• Drug discovery and targeted therapy;Goals:To develop organ-on-chip for:• studying PD, PK and efficacy of anticancer drugs;• testing chemical compounds (REACH) for environmental safety;For more information, you can contact Flavio Rizzolio (flavio.rizzolio@unive.it)";
350;Looking to join a consortium for Horizon 2020 call “SC1-BHC-33-2020: Addressing Low Vaccine Uptake”: oral history for health;https://crowdhelix.com/opportunities/looking-to-join-a-consortium-for-horizon-2020-call-sc1-bhc-33-2020-addressing-low-vaccine-uptake-oral-history-for-health-713;Cliona O'Carroll;University College Cork;https://crowdhelix.com/organisation/university-college-cork-13;Health, Society;Work Package Leader, Consortium Partner, Individual Expert;Social sciences, Public health, Sociology, Health inequality, Vaccine, Vaccine uptake, Vaccine hesitancy, Health education, Demography;We offer an innovative oral-history-based work package for SC1-BHC-33, which will significantly enrich a consortium application. We propose to develop a use-ready database of curated audio and text testimony of the experience of the impact of a range of infectious diseases for use in contexts of vaccine uptake hesitancy. This resource represents an innovative contribution to fresh, creative and public-facing ways of addressing this societal challenge.The decline in family/community memory of the experience of common communicable infectious diseases is a contributing factor in the reduction in vaccine uptake. Testimony, memories and stories from the generations who experienced such diseases prior to the introduction of immunisation programmes are a significant yet underexploited resource in the public discourse around vaccine hesitancy. Due to the aging demographic associated with this group of individuals, the experiential and community memory of these diseases will soon fade, and it is imperative to gather these narratives before they are lost. Their value is inestimable in terms of public health promotion, and their use will serve to raise public awareness of the significant consequences of such diseases. We propose to carry out an oral history project that collects and preserves these narratives, and to develop a use-ready text and audio database of narratives, contextualised with regard to both social history and infection/immunity. This database willbe trialled for use by healthcare professionals, health education providers and public health authorities.University College, Cork, offers an on-site multidisciplinary team from the humanities and health sciences, led by the Cork Folklore Project, an oral history archive and collection unit with 23 years of experience (www.ucc.ie/research/cfp). The CFP is a leading engaged research and oral history centre, and serves as a model of collection, archiving and dissemination practice in cultural heritage and social engagement contexts. Recent research projects with the Health Services Executive has seen us develop our engagement with the targeted use of oral history in health care and social inclusion contexts. Our well-developed digital cultural heritage practice, involving the use of digital platforms such as Omeka to carry out multimedia storymapping and to develop online catalogue interfaces, puts us in a good position to develop an ethically-informed, targeted dissemination platform for curated testimony content with multiple layers of contextualization.;https://crowdhelix.com/uploads/post_attachments/5d027ac39020c_SC1-BHC-33-2020COC2019CrowdHelix.pdf
351;University of Munich is looking for a consortium to join as partner: Expertise in manipulating cellular behaviour with nanoagents offered;https://crowdhelix.com/opportunities/university-of-munich-is-looking-for-a-consortium-to-join-as-partner-expertise-in-manipulating-cellular-behaviour-with-nanoagents-offered-675;Christina Nagler;LMU Munich;https://crowdhelix.com/organisation/lmu-munich-16;Health, Materials;Individual Expert;Tissue engineering, Cells, 2d materials, Nanoagents, Scaffolds;"Ludwig-Maximilians University of Munich (LMU) is interested to join a consortium as partner. LMU has acquired large expertise with manipulating cellular behavior with nanoagents in the field of angiogenesis, which is crucial for tissue regeneration. The Department of Pharmacy offers expertise in designing and manufacturing structured surfaces and hydrogels for tailor-made vascularization to stimulate wound healing. Additionally, LMU can contribute with various kinds of imaging of scaffolds (AFM) and the respective cells in vitro or after explanation from animal models (advanced confocal microscopy).Please note that this call is featured on the draft NMBP Work Programme which cannot currently be circulated. Please contact me for more details.Please contact directly Professor Dr. Stefan Zahler from the Department of Pharmacy:Prof. Dr. Stefan Zahler;Stefan.zahler@cup.uni-muenchen...Department of Pharmacy;Butenandtstrasse 5-13;81377 Munich;Alternatively you can contact me via the platform by commenting this post or sending me a private message.";https://crowdhelix.com/uploads/post_attachments/5ca324a62f0f6_Statement%20of%20intent%20and%20CV_Zahler.pdf
352;LEITAT's Human & Environmental Health & Safety Division is seeking collaborators for upcoming Horizon 2020 calls (Nanomedicine);https://crowdhelix.com/opportunities/leitats-human-environmental-health-safety-division-is-seeking-collaborators-for-upcoming-horizon-2020-calls-nanomedicine-691;Alvaro Cristobal;LEITAT Technological Center;https://crowdhelix.com/organisation/leitat-technological-center-19;Health, Materials;Work Package Leader, Consortium Partner;Horizon 2020, Health, Collaboration opportunities, Advanced therapies, Medical diagnostics, Diagnostic nanoparticles, Functional nanomaterials, Nanomedecine, Regenerative medicine;"LEITAT is a Technological Centre specialised in production technologies, developing R&D activities in the areas of materials sciences, environment, biotechnologies and renewable energies with deep knowledge and experience in technological transfers to several industrial sectors.The Nanotechnology in Healthcare platform, assigned to the Human and Environmental Health and Safety Center (HE&HS) in LEITAT, exploits the improved and novel properties of materials at the nanoscale aiming the application of nanotechnology in delivery of therapeutics, biosensing and medical diagnosis.We offer strong expertise on the following fields:• Rational design of smart nanocarriers regarding the route of administration of the final formulation;• Synthesis and characterization of biocompatible nanocarriers capable of performing a controlled and targeted cargo release upon external stimuli;• Safety assessment of nanosystems according to the current European and international regulation frameworks;• Stability testing based on durability, sustained release and transformation of the nanosystems and the final formulations in biologically relevant environments;• Scale up evaluation including feasibility and production of nanocarriers in the required quantity and quality for preclinical and clinical tests;• Design, synthesis and characterization of biofunctionalized inorganic nanoparticles with specific responses for medical diagnosis and biosensing;We are seeking partners to discuss possible collboration opportunities within the upcoming Horizon 2020 Calls. You can find a detailed information about the offered technologies in the attached document.Please, do not hesitate to contact us, via the Platform or the details provided in the document, if you need any additional information.Kind regards,Álvaro Cristóbal";https://crowdhelix.com/uploads/post_attachments/5cd2a9ae2a895_Expertise_LEITAT-HEHS_Crowdhelix.pdf
353;Offering expertise for the Horizon 2020 NMBP-06 topic on nano-pharmaceuticals production;https://crowdhelix.com/opportunities/offering-expertise-for-the-horizon-2020-nmbp-06-topic-on-nano-pharmaceuticals-production-744;Nicolás Ensesa;LEITAT Technological Center;https://crowdhelix.com/organisation/leitat-technological-center-19;Health, Manufacturing;Consortium Partner;Medical imaging, Diagnostics, Drug delivery, Advanced therapies, Nano-pharmaceuticals, Good manufacturing practice, Clinical testing, Gmp production;LEITAT is a private no profit RTO with more than 110 years of valuable experience in industrial innovation. LEITAT has participated in European projects with more than 550 partners and is currently involved in over 70 EU projects.The Nanotechnology in HealthCare platform is an active member of the EU-Nanosafety Cluster, coordinating one of the Working Groups, and the Eu-US Communities of Research (CoRs), specifically in the working group of nanomaterials risk assessment.The Nanotechnology in HealthCare platform is offering its expertise to consortia addressing the NMBP-06 topic on nanopharmaceuticals production. We offer a wide knowledge in the entire value-chain of nanocontainers production, from the design to the scale-up. You can find a detailed information about our expertise and previous projects on the attached documents.Please, do not hesitate to contact us, via the Platform or the details provided in the document, if you need any additional information.Kind regards,Nicolás;https://crowdhelix.com/uploads/post_attachments/5d400b248ae02_DT-NMBP-06-2020_LEITAT.pdf
354;Seeking collaborators to target an upcoming H2020 call - Accelerating the uptake of computer simulations for testing medicines;https://crowdhelix.com/opportunities/seeking-collaborators-to-target-an-upcoming-h2020-call-accelerating-the-uptake-of-computer-simulations-for-testing-medicines-797;Alejandro Frangi;CISTIB Computational Imaging & Simulation in Biomedicine, University of Leeds;"https://crowdhelix.com/group/cistib-computational-imaging-simulation-in-biomedicine-51; https://crowdhelix.com/organisation/university-of-leeds-8";Health, Materials, Manufacturing;Work Package Leader, Consortium Partner;Biomedicine, Simulation, Medical image, Next generation medical devices, Computational modelling, Computational medicine;CISTIB Centre for Computational Imaging and Simulation Technologies in Biomedicine (www.cistib.org) is an interdisciplinary centre at the University of Leeds with links to the School of Engineering and Physical Sciences as well as with the School of Medicine. We have experience in leading and participating in large scale collaborative projects in the EU and UK.We are looking for opportunities to contribute to shape a consortium and a proposal in the area of in silico clinical trials with a focus on developing the next generation of medical devices (e.g. cardiovascular and orthopaedics) using a combination of medical image analysis, pervasive sensing, new material and manufacturing approaches, modelling and simulation. Our group is pioneer in EU and UK in the area of the Virtual Physiological Human and Computational Medicine.We look for opportunities to partner with industry and academic centres across Europe to develop an outstanding proposal for the 2020 calls.;https://crowdhelix.com/uploads/post_attachments/5d9c914dbf4aa_Curriculum_Vitae___AF_Frangi%20(1).pdf
355;"Seeking collaborators for the upcoming call: “Personalised early risk prediction, prevention & intervention based on AI & Big Data tech""";https://crowdhelix.com/opportunities/seeking-collaborators-for-the-upcoming-call-personalised-early-risk-prediction-prevention-intervention-based-on-ai-big-data-tech-763;Martiño Rubal;CITIC, Universidade da Coruña;;Health, Cybersecurity, Digital;Consortium Partner;Big data, Personalised medicine, Big data analytics, Artificial intelligence, Stakeholder engagement, Healthy ageing, Personalised healthcare, Early risk prediction models, Health literacy;The Telematics research group belongs to the Research Centre on Information and Communication Technologies (CITIC), a Technology Centre promoted by the University of A Coruña (UDC).Our research experience from last years has been focused on the development of an Early Detection Framework for anomalous situations that we have successfully applied to different environments, such as, health or cyber-security. We have developed an evaluation methodology for early detection and studied and proposed different evaluation metrics for this problem.More specifically, in the health field, we have studied the early detection of depression based on social network analysis based on Random Forest (https://doi.org/10.2196/12554), very relevant for this call.;https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/sc1-dth-02-2020
356;Offering a pilot / application area in Tourism for upcoming H2020 calls (e.g. DT-ICT-09-2020);https://crowdhelix.com/opportunities/offering-a-pilot-application-area-in-tourism-for-upcoming-h2020-calls-e-g-dt-ict-09-2020-772;Wim Ectors;Universiteit Hasselt;https://crowdhelix.com/organisation/universiteit-hasselt-446;Health, Society, Transport;Work Package Leader, Consortium Partner, Individual Expert;Digitalisation, Collaborative platforms, Rural development, Digitalization, Internet of things (iot), Digital platform, Digitalization of health, Digital integration platforms;The Transportation Research Institute (IMOB) of University of Hasselt (Belgium) is developing smart mobility tools for the domains of transportation and road safety. One of our research groups specializes in the area of care tourism (specialized tourism for people with care need) and sustainable tourism.For these activities, we developed electronic platforms, mobile phone applications, specialized research surveys etc. We have a large network of stakeholders, among which also National Parks, care user organizations, hotel chains etc.Two short examples of tourism research topics:1) Care tourism: we are working on a platform that offers a PERSONALIZED advise for people with some disability (being due to age, recovering from a surgery, or other condition or illness), linking all stakeholders (transport, accommodation, activities etc.).2) Sustainable tourism: we are working with a National Park to develop a smart app to guide visitors, finding an optimal route to walk in the park according to visitor’s desires (length, POIs, fauna and flora to see, duration, intensity etc.) (a complex optimization problem).We want to offer our expertise as an application area in the upcoming H2020 calls, among which e.g. DT-ICT-09-2020 (Boost rural economies through cross-sector digital service platforms), where such pilots are requested.Please do not hesitate to contact us for any collaboration opportunity.;https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/dt-ict-09-2020
357;Seeking collaborators for the upcoming call for proposal BIOTEC-06-2020;https://crowdhelix.com/opportunities/seeking-collaborators-for-the-upcoming-call-for-proposal-biotec-06-2020-776;Shirly Rakier;Technion – Israel Institute of Technology;;Health, Materials;Consortium Partner;Microorganisms, Analytes, Biological sensors, Synthetic biological systems;The Laboratory of Synthetic Biology and Bioelectronics headed by Prof. Ramez Daniel focuses on the design and construction of large-scale gene networks in living cells for biomedical and biotechnology applications. So far, our gene circuits were used for bio-sensing applications to improve their performance. We use principles inspired by engineering to build our circuits. Our current applications include bacterial biosensors that can detect heavy metals, toxic chemicals and bleeding. We also build whole cell system that combines the biological elements with the electronic circuits. In this call we are interested to incorporate our circuits in new biotechnology applications. This includes the detection of new target chemicals and operation in different/complex setting conditions and environments.;"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/biotec-06-2020;freeTextSearchKeyword=BIOTEC-06-2020;typeCodes=1;statusCodes=31094501,31094502;programCode=null;programDivisionCode=null;focusAreaCode=null;crossCuttingPriorityCode=null;callCode=Default;sortQuery=openingDate;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState"
358;Technology Offer: Novel probiotic Lactobacillus strains for human therapeutic use and personal hygiene;https://crowdhelix.com/opportunities/technology-offer-novel-probiotic-lactobacillus-strains-for-human-therapeutic-use-and-personal-hygiene-726;Freddy Dardenne;Enviromics: Research and Technology for the Environment, Universiteit Antwerpen;"https://crowdhelix.com/group/enviromics-research-and-technology-for-the-environment-27; https://crowdhelix.com/organisation/universiteit-antwerpen-465";Health, Food;Work Package Leader, Consortium Partner, Individual Expert;New therapeutics, Cosmetic products, Probiotics, Food & health;We are looking for collaborations allowing us to create added value for our proprietary bacterial collection comprising hundreds of strains (mainly Lactobacilli). The cooperation can have multiple formats: co-development, funded projects, licensing, ...;"https://crowdhelix.com/uploads/post_attachments/5d1b0690ef5aa_TTO-28-ENG-180314-new.pdf; https://www.uantwerpen.be/en/research-groups/endemic/#"
359;Health Helix and Food Helix events - registrations open;https://crowdhelix.com/opportunities/health-helix-and-food-helix-events-registrations-open-778;Natalia Grzomba;Community & Project Management Team, Crowdhelix;"https://crowdhelix.com/group/community-project-management-team-1; https://crowdhelix.com/organisation/crowdhelix-134";Health, Announcements, Food;;Horizon 2020, Health, Collaboration, Open innovation, Food, Networking, Horizon europe, Outreach event;We are pleased to announce that the registrations to our upcoming Helix events are now open.Organised in collaboration with Karolinska Institutet and KTH Royal Institute of Technology, the Health Helix event will take place on 24-25th October in Stockholm. For more information and draft agenda, please see the registration page: https://www.eventbrite.co.uk/e...The following week (30th-31st October), together with University of Milan and Brunel University London, we are going to hold the Food Helix event in Milan. More information and registration can be found here: https://www.eventbrite.co.uk/e...Please don't hesitate to contact us should you have any questions.;
360;Save the date - Health Helix Event (24-25 October, Stockholm);https://crowdhelix.com/opportunities/save-the-date-health-helix-event-24-25-october-stockholm-716;Marine Desoche;Community & Project Management Team, Crowdhelix;"https://crowdhelix.com/group/community-project-management-team-1; https://crowdhelix.com/organisation/crowdhelix-134";Health, Announcements;;Health, Networking, Outreach event, Horizon 2020 health calls;We are pleased to announce that Crowdhelix will be hosting an event in collaboration with Karolinska Institute and KTH Royal Institute of Technology on 24th-25th October 2019 in Stockholm (Sweden). It will address topics included in the Horizon 2020 Draft Health Work Programme for 2020 calls.More details and registrations for this event will be shared in the coming weeks. In the meantime, I remain at your disposal for any question.Best wishes,Marine;
